Name, Address, Zipcode, Distance_from_94501, lat, lng 
Jai Yun,  680 Clay San Francisco, 94111, 13.071, 37.79450, -122.404495
Lucky Fortune Seafood Restaurant,  5715 Geary Blvd. San Francisco, 94121, 18.513, 37.78021, -122.480773
Mama Ji's,  4416 18th St. San Francisco, 94114, 15.736, 37.76067, -122.438667
Mayflower,  6255 Geary Blvd. San Francisco, 94121, 18.832, 37.77994, -122.486625
Miriwa,  728 Pacific San Francisco, 94133, 13.978, 37.79685, -122.407295
Nan King Road Bistro,  1360 9th Ave. San Francisco, 94122, 17.464, 37.76292, -122.466232
Shanghai Dumpling King,  3319 Balboa St. San Francisco, 94121, 19.021, 37.77584, -122.494483
Taiwan Restaurant,  445 Clement St. San Francisco, 94118, 17.664, 37.78298, -122.463836
The Pot Sticker,  150 Waverly Place San Francisco, 94108, 13.231, 37.79464, -122.406921
Wo Hing General Store,  584 Valencia St. San Francisco, 94110, 14.993, 37.76355, -122.421752
Y. Ben House,  835 Pacific Ave. San Francisco, 94133, 14.055, 37.79662, -122.409118
Mission Chinese Food,  2234 Mission St. San Francisco, 94110, 15.035, 37.76116, -122.419288
Cheung Hing,  2339 Noriega St. San Francisco, 94122, 19.289, 37.75371, -122.488677
China First,  336 Clement St. San Francisco, 94118, 17.553, 37.78303, -122.462951
Hakka Restaurant,  4401 Cabrillo St. San Francisco, 94121, 19.521, 37.77345, -122.505905
Henry's Hunan Restaurant,  110 Natoma St. San Francisco, 94105, 12.482, 37.78708, -122.398948
Hunan Cafe No. 2,  4450 Cabrillo St. San Francisco, 94121, 19.561, 37.77343, -122.506629
Just Won Ton,  1241 Vicente St. San Francisco, 94116, 20.821, 37.73911, -122.480148
Tsing Tao Chinese,  3107 Clement St San Francisco, 94121, 19.289, 37.78167, -122.492599
Shanghai House,  3641 Balboa St. San Francisco, 94121, 19.197, 37.77569, -122.497756
Shangri-La Vegetarian Chinese,  2026 Irving St. San Francisco, 94122, 18.108, 37.76347, -122.479553
Kappa,  1700 Post St. San Francisco, 94115, 15.972, 37.78555, -122.430061
Keiko A Nob Hill,  1250 Jones St. San Francisco, 94109, 13.608, 37.79302, -122.414459
Kyo-ya,  2 New Montgomery San Francisco, 94105, 12.766, 37.78860, -122.401901
Nojo ,  231 Franklin St. San Francisco, 94102, 15.104, 37.77669, -122.421272
Yoshi's San Francisco,  1330 Fillmore St. San Francisco, 94115, 15.605, 37.78171, -122.432388
Domo ,  511 Laguna St. San Francisco, 94102, 14.883, 37.77586, -122.426162
Eiji ,  317 Sanchez St. San Francisco, 94114, 15.218, 37.76410, -122.430854
Ichi Sushi + Ni Restaurant,  3282 Mission St. San Francisco, 94110, 16.133, 37.74425, -122.420753
Izakaya Sozai,  1500 Irving St. San Francisco, 94122, 17.813, 37.76369, -122.474136
Izakaya Yuzuki,  598 Guerrero St. San Francisco, 94110, 15.463, 37.76156, -122.423843
Juban,  1581 Webster St. San Francisco, 94115, 15.745, 37.78525, -122.431427
Kiji ,  1009 Guerrero St. San Francisco, 94110, 15.704, 37.75481, -122.423095
Koo  ,  408 Irving St. San Francisco, 94122, 17.169, 37.76422, -122.462287
Lunc ,  704 Sutter St. San Francisco, 94109, 14.053, 37.78880, -122.411979
Maki ,  1825 Post St. San Francisco, 94115, 15.779, 37.78531, -122.431922
Minako,  2154 Mission St. San Francisco, 94110, 14.941, 37.76253, -122.419433
Nagano Sushi,  3727 Geary Blvd. San Francisco, 94118, 17.231, 37.78118, -122.459449
O Izakaya,  1625 Post St. San Francisco, 94115, 15.894, 37.78576, -122.428649
Ozumo,  161 Steuart St. San Francisco, 94105, 12.740, 37.79247, -122.392242
Roka Akor,  801 Montgomery Street San Francisco, 94133, 13.130, 37.79660, -122.403533
Skool,  1725 Alameda St. San Francisco, 94103, 13.593, 37.76871, -122.402229
Takara,  22 Peace Plaza San Francisco, 94115, 15.958, 37.78543, -122.429794
Alexander's Steakhouse,  448 Brannan St. San Francisco, 94107, 12.578, 37.77913, -122.395515
Blowfish Sushi to Die For,  2170 Bryant St. San Francisco, 94110, 14.205, 37.75955, -122.409896
Daimaru Sushi,  290 Sanchez San Francisco, 94114, 15.191, 37.76451, -122.430900
Ebisu,  1283 Ninth Ave. San Francisco, 94122, 17.367, 37.76433, -122.466339
Hana Zen,  115 Cyril Magnin San Francisco, 94102, 13.571, 37.78543, -122.408699
Iroha,  1728 Buchanan St. San Francisco, 94115, 14.335, 37.78619, -122.429931
Izakaya Hashiboro Kou,  1560 Fillmore St. San Francisco, 94115, 15.780, 37.78424, -122.432899
Izakaya Roku,  1819 Market St. San Francisco, 94103, 14.565, 37.77132, -122.423995
Kabuto,  5121 Geary Blvd. San Francisco, 94118, 18.045, 37.78049, -122.474403
Kappou Gomi,  5524 Geary Blvd. San Francisco, 94121, 18.723, 37.78044, -122.478584
Kitaro Japanese Restaurant,  5723 Geary Blvd. San Francisco, 94121, 18.509, 37.78021, -122.480697
Mifune,  1737 Post St. San Francisco, 94115, 15.973, 37.78555, -122.430084
Nombe,  2491 Mission St. San Francisco, 94110, 15.311, 37.75716, -122.418914
Sakesan Sushi & Bistro,  626 Clement St. San Francisco, 94118, 17.718, 37.78289, -122.465995
Sudachi,  1217 Sutter St. San Francisco, 94109, 13.944, 37.78770, -122.420532
Tataki,  2815 California St. San Francisco, 94115, 16.484, 37.78803, -122.440727
Tsunami Sushi & Sake Bar,  1306 Fulton St. San Francisco, 94117, 15.699, 37.77685, -122.438339
Hotei,  1290 Ninth Ave. San Francisco, 94122, 17.378, 37.76418, -122.466331
Moki's Sushi and Pacific Grill,  615 Cortland Ave. San Francisco, 94110, 16.106, 37.73899, -122.415756
Coco Bang,  550 Taylor St. San Francisco, 94102, 13.432, 37.78746, -122.411621
Korea House,  1640 Post St. San Francisco, 94115, 15.903, 37.78574, -122.428825
Seoul Garden,  22 Peace Plaza San Francisco, 94115, 15.958, 37.78543, -122.429794
A16  ,  2355 Chestnut St. San Francisco, 94123, 16.064, 37.80007, -122.442123
Acquerello,  1722 Sacramento St. San Francisco, 94109, 14.093, 37.79146, -122.421226
Ala Romana,  1098 Jackson St. San Francisco, 94133, 13.836, 37.79520, -122.413200
Albona Ristorante Istriano,  545 Francisco St. San Francisco, 94133, 14.459, 37.80460, -122.414154
Allegro,  1701 Jones St. San Francisco, 94109, 13.879, 37.79694, -122.415237
Amarena,  2162 Larkin St. San Francisco, 94109, 14.602, 37.79770, -122.420448
Americano Restaurant and Lounge,  8 Mission St. San Francisco, 94105, 12.789, 37.79362, -122.392700
Aperto,  1434 18th St. San Francisco, 94107, 14.211, 37.76256, -122.396865
Armani Cafe,  1 Grant Ave. San Francisco, 94108, 13.089, 37.78702, -122.404907
Barbacco,  230 California St. San Francisco, 94111, 12.753, 37.79330, -122.399345
Bella Trattoria,  3854 Geary Blvd. San Francisco, 94118, 17.354, 37.78125, -122.460609
Beretta,  1199 Valencia St. San Francisco, 94110, 15.661, 37.75370, -122.420814
Brindisi Cucina di Mare,  88 Belden Place San Francisco, 94104, 12.952, 37.79163, -122.403846
Cafe Altano,  602 Hayes St. San Francisco, 94102, 14.926, 37.77645, -122.426315
Cafe Tiramisu,  28 Belden Place San Francisco, 94104, 13.071, 37.79118, -122.403755
Cafe Zoetrope,  916 Kearny St. San Francisco, 94133, 13.243, 37.79656, -122.405227
Caffe d'Melanio,  1314 Ocean Ave. San Francisco, 94112, 19.271, 37.72400, -122.456695
Caffe Macaroni,  59 Columbus San Francisco, 94111, 13.138, 37.79629, -122.404457
Campanula,  701 Union St. San Francisco, 94133, 13.601, 37.80022, -122.411056
Capo's,  641 Vallejo St. San Francisco, 94133, 13.399, 37.79866, -122.408111
Capp's Corner,  1600 Powell St. San Francisco, 94133, 13.645, 37.79943, -122.410682
Chow ,  215 Church St. San Francisco, 94114, 14.962, 37.76715, -122.428909
Claudine,  8 Claude Lane San Francisco, 94108, 13.048, 37.78983, -122.404228
Credo,  360 Pine St. San Francisco, 94104, 12.835, 37.79197, -122.402015
Cupola,  845 Market St. San Francisco, 94103, 13.222, 37.78480, -122.407051
Da Flora,  701 Columbus Ave. San Francisco, 94133, 13.667, 37.80135, -122.411766
Delfina,  3621 18th St. San Francisco, 94110, 15.259, 37.76154, -122.424331
Dino's Pizza & Dining,  2101 Fillmore St. San Francisco, 94115, 16.103, 37.78891, -122.433845
E'Angelo,  2234 Chestnut St. San Francisco, 94123, 15.951, 37.80033, -122.440086
Farina,  3560 18th St. San Francisco, 94110, 15.182, 37.76162, -122.422920
Figaro,  414 Columbus Ave. San Francisco, 94133, 13.550, 37.79879, -122.407966
Fino ,  624 Post St. San Francisco, 94109, 13.842, 37.78778, -122.412338
Firewood Cafe,  4248 18th St. San Francisco, 94114, 15.639, 37.76078, -122.436897
Flour + Water,  2401 Harrison St. San Francisco, 94110, 14.386, 37.75891, -122.412483
Gialina,  2842 Diamond St San Francisco, 94131, 18.148, 37.73395, -122.434036
Gioia,  2240 Polk St. San Francisco, 94109, 14.690, 37.79750, -122.422103
Il Fornaio,  1265 Battery St. San Francisco, 94111, 13.738, 37.80292, -122.401924
Jackson Fillmore,  2506 Fillmore St. San Francisco, 94115, 15.419, 37.79262, -122.434608
Kuleto's,  221 Powell St. San Francisco, 94102, 13.311, 37.78652, -122.408073
L'Osteria Del Forno,  519 Columbus Ave. San Francisco, 94133, 13.490, 37.79965, -122.409324
La Ciccia,  291 30th St. San Francisco, 94131, 16.531, 37.74210, -122.426605
La Nebbia,  1781 Church St. San Francisco, 94131, 16.541, 37.74230, -122.426544
La Traviata,  2854 Mission St. San Francisco, 94110, 15.704, 37.75148, -122.418373
Leopold's,  2400 Polk St. San Francisco, 94109, 14.786, 37.79890, -122.422370
Little Joe's,  85 Fifth St. San Francisco, 94103, 13.197, 37.78289, -122.406684
Local Kitchen & Wine Merchant,  330 First St. San Francisco, 94105, 12.165, 37.78698, -122.394073
Locanda,  557 Valencia St. San Francisco, 94110, 14.961, 37.76402, -122.421798
Luce ,  888 Howard St. San Francisco, 94103, 13.098, 37.78186, -122.404472
Lupa ,  4109 24th St. San Francisco, 94114, 16.218, 37.75127, -122.434516
Macaroni Sciue Sciue,  124 Columbus Ave. San Francisco, 94133, 13.163, 37.79653, -122.404800
Manzoni,  2788 Diamond St. San Francisco, 94131, 18.204, 37.73475, -122.433792
Mescolanza,  2221 Clement St. San Francisco, 94121, 18.774, 37.78209, -122.483161
Mozzeria,  3228 16th St. San Francisco, 94103, 15.060, 37.76472, -122.424842
Nob Hill Cafe,  1152 Taylor St. San Francisco, 94108, 13.699, 37.79324, -122.412788
North Beach Restaurant,  1512 Stockton St. San Francisco, 94133, 14.616, 37.79965, -122.409034
Original Joe's,  601 Union St. San Francisco, 94133, 14.562, 37.80043, -122.409187
Osteria,  3277 Sacramento St. San Francisco, 94115, 17.034, 37.78821, -122.446746
Pane e Vino,  1715 Union St. San Francisco, 94123, 15.066, 37.79810, -122.427642
Park Chow,  1240 Ninth Ave. San Francisco, 94122, 17.313, 37.76512, -122.466384
Saison,  178 Townsend St. San Francisco, 94107, 12.563, 37.77928, -122.392227
Gary Danko,  800 North Point St. San Francisco, , 14.230, 37.78008, -122.420166
Michael Mina,  252 California St. San Francisco, 94111, 12.749, 37.79328, -122.399414
One Market,  1 Market St. San Francisco, 94105, 12.956, 37.79437, -122.394943
Prospect,  300 Spear St. San Francisco, 94105, 12.470, 37.79007, -122.390998
Sons & Daughters,  708 Bush St. San Francisco, 94108, 13.101, 37.79014, -122.408981
Spruce,  3640 Sacramento St. San Francisco, 94118, 17.202, 37.78746, -122.452697
Abbot's Cellar,  742 Valencia St. San Francisco, 94110, 15.165, 37.76101, -122.421516
Bix  ,  56 Gold St. San Francisco, 94133, 13.661, 37.79676, -122.402893
Boulevard,  1 Mission St. San Francisco, 94105, 12.806, 37.79344, -122.392921
Bourbon Steak,  335 Powell Street San Francisco, 94102, 13.261, 37.78769, -122.408309
Chenery Park,  683 Chenery St. San Francisco, 94131, 18.211, 37.73452, -122.433433
Chow ,  215 Church St. San Francisco, 94114, 14.962, 37.76715, -122.428909
Commonwealth,  2224 Mission St. San Francisco, 94110, 15.026, 37.76129, -122.419303
Frances,  3870 17th St. San Francisco, 94114, 15.402, 37.76268, -122.432281
Marlowe,  330 Townsend St. San Francisco, 94107, 13.060, 37.77654, -122.395698
Nopalito,  306 Broderick St. San Francisco, 94117, 15.527, 37.77299, -122.439109
Park Chow,  1240 Ninth Ave. San Francisco, 94122, 17.313, 37.76512, -122.466384
Park Tavern,  1652 Stockton St. San Francisco, 94133, 14.516, 37.80109, -122.409324
Range,  842 Valencia St. San Francisco, 94110, 15.278, 37.75935, -122.421356
St. Vincent,  1270 Valencia St. San Francisco, 94110, 15.739, 37.75256, -122.420707
The Cavalier,  360 Jessie St. San Francisco, 94103, 13.241, 37.78333, -122.406791
Tosca Cafe,  242 Columbus Ave. San Francisco, 94133, 13.784, 37.79745, -122.406044
Town Hall,  342 Howard St. San Francisco, 94105, 12.419, 37.78963, -122.394622
Trick Dog,  3010 20th St. San Francisco, 94110, 14.293, 37.75912, -122.410949
Trou Normand,  140 New Montgomery St. San Francisco, 94105, 12.610, 37.78684, -122.399726
Wayfare Tavern,  558 Sacramento St. San Francisco, 94111, 12.970, 37.79386, -122.402359
1300 on Fillmore,  1300 Fillmore San Francisco, 94115, 15.586, 37.78142, -122.432334
Baker & Banker,  1701 Octavia St. San Francisco, 94109, 14.098, 37.78796, -122.426910
Bar Agricole,  355 11th St. San Francisco, 94103, 13.702, 37.77121, -122.413208
Bar Jules,  609 Hayes St. San Francisco, 94102, 14.932, 37.77644, -122.426414
Circa,  2001 Chestnut St. San Francisco, 94123, 15.756, 37.80078, -122.436546
Comstock Saloon,  155 Columbus Ave. San Francisco, 94133, 13.171, 37.79661, -122.404914
Corner Store,  5 Masonic Avenue San Francisco, 94118, 16.548, 37.78154, -122.447677
Ella's,  500 Presidio Ave. San Francisco, 94115, 16.956, 37.78723, -122.446784
Fable,  558 Castro St. San Francisco, 94114, 15.602, 37.75991, -122.434898
Farmer Brown,  25 Mason St. San Francisco, 94102, 13.402, 37.78352, -122.409149
Firefly,  4288 24th St. San Francisco, 94114, 16.422, 37.75104, -122.438240
Fog City,  1300 Battery St. San Francisco, 94111, 13.775, 37.80345, -122.402030
Hard Water,  Pier 3 on the Embarcadero San Francisco, , 14.230, 37.78008, -122.420166
Hog & Rocks,  3431 19th St. San Francisco, 94110, 15.135, 37.76020, -122.419860
Kate's Kitchen,  471 Haight St. San Francisco, 94117, 14.908, 37.77217, -122.429931
Lark Creek Steak,  845 Market St. San Francisco, 94103, 13.222, 37.78480, -122.407051
Luna Park,  694 Valencia St. San Francisco, 94110, 15.113, 37.76178, -122.421585
Maverick,  3316 17th St. San Francisco, 94110, 14.901, 37.76341, -122.419921
Olea ,  1494 California St. San Francisco, 94109, 13.765, 37.79079, -122.418975
Oola Restaurant & Bar,  860 Folsom St. San Francisco, 94107, 12.757, 37.78095, -122.402534
Outerlands,  4001 Judah Street San Francisco, 94122, 19.631, 37.76047, -122.505004
Plow ,  1299 18th St. San Francisco, 94107, 14.140, 37.76264, -122.395584
PlumpJack's Balboa Cafe,  3199 Fillmore St. San Francisco, 94123, 15.879, 37.79895, -122.435874
Public House,  24 Willie Mays Plaza San Francisco, 94107, 12.614, 37.78126, -122.388481
RN74 ,  301 Mission St. San Francisco, 94105, 12.583, 37.79098, -122.396034
Salt House,  545 Mission St. San Francisco, 94105, 12.518, 37.78889, -122.398681
Sam's Grill,  374 Bush St. San Francisco, 94104, 12.812, 37.79080, -122.403686
Stones Throw,  1896 Hyde St. San Francisco, 94109, 14.162, 37.79803, -122.418838
Supperclub,  657 Harrison St. San Francisco, 94107, 12.306, 37.78325, -122.396545
Sutro's at the Cliff House,  1090 Point Lobos San Francisco, , 14.230, 37.78008, -122.420166
Tadich Grill,  240 California St. San Francisco, 94111, 12.745, 37.79328, -122.399497
TBD  ,  1077 Mission St. San Francisco, 94103, 13.487, 37.77959, -122.410461
The Blue Plate,  3218 Mission St. San Francisco, 94110, 16.070, 37.74506, -122.420234
The Rotunda,  150 Stockton St. San Francisco, 94108, 13.373, 37.78712, -122.406509
Tipsy Pig,  2231 Chestnut St. San Francisco, 94123, 15.946, 37.80034, -122.439979
Universal Cafe,  2814 19th St. San Francisco, 94110, 14.177, 37.76044, -122.410629
Waterfront Restaurant and Cafe,  Pier 7 on the Embarcadero San Francisco, , 14.230, 37.78008, -122.420166
Woodward's Garden,  1700 Mission St. San Francisco, 94103, 14.216, 37.76985, -122.420181
1760 ,  1760 Polk St. San Francisco, 94109, 14.022, 37.79292, -122.421173
21st Amendment Brewery Cafe,  563 Second St. San Francisco, 94107, 12.265, 37.78236, -122.392730
Bar Crudo,  655 Divisadero St. San Francisco, 94117, 15.599, 37.77552, -122.437950
Blue ,  2337 Market St. San Francisco, 94114, 15.329, 37.76344, -122.433952
BlueJay Cafe,  919 Divisadero St. San Francisco, 94115, 15.784, 37.77816, -122.438491
Bluestem Brasserie,  1 Yerba Buena Lane San Francisco, 94103, 13.003, 37.78614, -122.404769
Brazen Head,  3166 Buchanan St. San Francisco, 94123, 15.708, 37.79921, -122.432571
Burritt Room + Tavern,  417 Stockton St. San Francisco, 94108, 13.154, 37.78986, -122.407066
Candybar,  1335 Fulton St. San Francisco, 94117, 15.729, 37.77678, -122.438896
Citizen's Band,  1198 Folsom St. San Francisco, 94103, 13.462, 37.77498, -122.410072
Fly  ,  762 Divisadero St. San Francisco, 94117, 15.730, 37.77629, -122.438026
Garaje,  475 Third St. San Francisco, 94107, 12.455, 37.78170, -122.396286
Heirloom Cafe,  2500 Folsom St. San Francisco, 94110, 14.616, 37.75708, -122.414520
Herbivore,  531 Divisadero St. San Francisco, 94117, 15.518, 37.77434, -122.437713
3Hillstone (formerly Houston's),  1800 Montgomery St. San Francisco, 94111, 13.920, 37.80524, -122.405288
House of Prime Rib,  1906 Van Ness San Francisco, 94109, 14.846, 37.79312, -122.422813
Ironside,  680A Second St. San Francisco, 94107, 12.411, 37.78084, -122.390815
asper's Corner Tap,  401 Taylor St. San Francisco, 94102, 13.533, 37.78600, -122.411338
Joanie's Happy Days Diner,  1329 Columbus Ave. San Francisco, 94133, 14.691, 37.80653, -122.419219
Magnolia Gastropub & Brewery,  1398 Haight St. San Francisco, 94117, 15.760, 37.77020, -122.445350
Mason Pacific,  1358 Mason Street San Francisco, 94133, 13.960, 37.79597, -122.411659
Maxfield's,  2 New Montgomery St. San Francisco, 94105, 12.766, 37.78860, -122.401901
Miller's East Coast West Delicatessen,  1725 Polk St. San Francisco, 94109, 13.999, 37.79259, -122.421112
Monk's Kettle,  3141 16th St. San Francisco, 94103, 14.953, 37.76487, -122.422866
Nob Hill Grille,  969 Hyde St. San Francisco, 94109, 13.600, 37.78990, -122.417182
Palace,  3047 Mission Street San Francisco, 94110, 15.878, 37.74868, -122.418098
2Paragon Restaurant & Bar,  701 Second St. San Francisco, 94107, 12.433, 37.78062, -122.390533
Park Chalet,  1000 Great Hwy. San Francisco, 94121, 19.843, 37.76888, -122.510643
Perry's on the Embarcadero,  155 Steuart St. San Francisco, 94105, 12.757, 37.79265, -122.392463
Presidio Social Club,  563 Ruger St. San Francisco, 94129, 16.570, 37.79714, -122.447998
Morton's the Steakhouse,  400 Post St. San Francisco, 94102, 13.170, 37.78825, -122.408782
Globe,  290 Pacific San Francisco, 94111, 13.033, 37.79767, -122.400772
Boudin at the Wharf,  160 Jefferson St. San Francisco, 94133, 14.643, 37.80832, -122.414985
Washington Square Bar & Grill,  1707 Powell St. San Francisco, 94133, 13.593, 37.80031, -122.410842
Per Diem,  43 Sutter St. San Francisco, 94104, 12.912, 37.79017, -122.401260
'Wichcraft,  868 Mission St. San Francisco, 94103, 13.324, 37.78339, -122.405693
Woodhouse Fish Company,  2073 Market St. San Francisco, 94114, 14.910, 37.76776, -122.428489
Beach Chalet,  1000 Great Hwy. San Francisco, 94121, 19.843, 37.76888, -122.510643
Q    ,  225 Clement St. San Francisco, 94118, 17.481, 37.78309, -122.461692
Rick's Restaurant & Bar,  1940 Taraval St. San Francisco, 94116, 21.884, 37.74255, -122.487098
Sauce,  131 Gough St. San Francisco, 94102, 14.803, 37.77462, -122.422538
Sea Breeze Cafe,  3940 Judah St. San Francisco, 94122, 19.604, 37.76049, -122.504524
Seaglass,  Pier 15 San Francisco, 94133, 14.727, 37.80963, -122.417060
Sears Fine Foods,  439 Powell St. San Francisco, 94102, 13.192, 37.78867, -122.408508
Serpentine,  2495 Third St. San Francisco, 94107, 13.966, 37.75989, -122.388397
Solstice,  2801 California San Francisco, 94115, 16.471, 37.78806, -122.440498
St. Francis Fountain,  2801 24th St. San Francisco, 94110, 14.715, 37.75285, -122.408325
The Bell Tower,  1900 Polk St. San Francisco, 94109, 14.701, 37.79414, -122.421409
Mamacita,  2317 Chestnut St. San Francisco, 94123, 16.027, 37.80015, -122.441459
Nopalito,  306 Broderick St. San Francisco, 94117, 15.527, 37.77299, -122.439109
Nopalito,  1224 Ninth Avenue San Francisco, 94122, 17.292, 37.76542, -122.466407
Padrecito,  901 Cole St. San Francisco, 94117, 16.314, 37.76581, -122.449974
Don Pisto's,  510 Union St. San Francisco, 94133, 14.631, 37.80060, -122.407936
La Taqueria,  2889 Mission St. San Francisco, 94110, 15.735, 37.75102, -122.418327
La Urbana,  661 Divisadero St. San Francisco, 94117, 15.618, 37.77578, -122.438011
Sabrosa Restaurant,  3200 Fillmore St. San Francisco, 94123, 15.879, 37.79895, -122.435874
Tacolicious (Mission),  741 Valencia St. San Francisco, 94110, 15.163, 37.76104, -122.421516
Chilango,  235 Church St. San Francisco, 94114, 14.967, 37.76707, -122.428901
Colibri Mexican Bistro,  438 Geary St. San Francisco, 94102, 13.524, 37.78707, -122.410522
Garaje,  475 Third St. San Francisco, 94107, 12.455, 37.78170, -122.396286
Mexico DF,  139 Steuart St. San Francisco, 94105, 12.766, 37.79274, -122.392570
Regalito Rosticeria,  3481 18th St. San Francisco, 94110, 15.082, 37.76173, -122.421089
Roosevelt Tamale Parlor,  2817 24th St. San Francisco, 94110, 14.701, 37.75283, -122.408569
Tres ,  130 Townsend St. San Francisco, 94107, 12.487, 37.78006, -122.391235
Tropisueno,  75 Yerba Buena Lane San Francisco, 94103, 13.492, 37.78533, -122.403770
Celia's Mexican Restaurant,  4019 Judah St. San Francisco, 94122, 19.641, 37.76046, -122.505187
San Jalisco ,  901 S Van Ness Ave San Francisco , 94110, 14.619, 37.75864, -122.416862
Colibri Mexican Bistro,  438 Geary St San Francisco, 94102, 13.524, 37.78707, -122.410522
Gracias Madre,  2211 Mission St San Francisco, 94110, 15.013, 37.76148, -122.419319
